ts_ns,side,price_e8,qty_e8,agg_trade_id
1704588371780000000,-1,4415140000000,500000,1973600432
1704588371893000000,-1,4415140000000,300000,1973600433
1704588372195000000,-1,4415140000000,5400000,1973600434
1704588372514000000,-1,4415140000000,5600000,1973600435
1704588373389000000,-1,4415140000000,900000,1973600436
1704588373794000000,1,4415150000000,1100000,1973600437
1704588373872000000,-1,4415140000000,14000000,1973600438
1704588374434000000,1,4415150000000,1200000,1973600439
1704588374438000000,-1,4415140000000,300000,1973600440
1704588374722000000,1,4415150000000,1800000,1973600441
1704588374987000000,-1,4415140000000,33800000,1973600442
1704588375673000000,1,4415150000000,3000000,1973600443
1704588375704000000,-1,4415140000000,4500000,1973600444
1704588376061000000,1,4415150000000,1900000,1973600445
1704588376163000000,1,4415150000000,900000,1973600446
1704588376470000000,1,4415150000000,4900000,1973600447
1704588376822000000,1,4415150000000,1000000,1973600448
1704588377014000000,-1,4415140000000,1500000,1973600449
1704588377022000000,1,4415150000000,2700000,1973600450
1704588377192000000,1,4415150000000,1300000,1973600451
1704588377259000000,-1,4415140000000,4500000,1973600452
1704588377406000000,1,4415150000000,6200000,1973600453
1704588377625000000,-1,4415140000000,25000000,1973600454
1704588377718000000,1,4415150000000,40000000,1973600455
1704588377832000000,1,4415150000000,400000,1973600456
1704588378158000000,-1,4415140000000,3900000,1973600457
1704588378437000000,1,4415150000000,14300000,1973600458
1704588378586000000,-1,4415140000000,11700000,1973600459
1704588378832000000,-1,4415140000000,113200000,1973600460
1704588378981000000,1,4415150000000,1400000,1973600461
1704588379084000000,1,4415150000000,600000,1973600462
1704588379187000000,1,4415150000000,400000,1973600463
1704588379330000000,1,4415150000000,6700000,1973600464
1704588379493000000,-1,4415140000000,1800000,1973600465
1704588379788000000,1,4415150000000,178500000,1973600466
1704588379788000000,1,4415160000000,300000,1973600467
1704588379788000000,1,4415240000000,1400000,1973600468
1704588379788000000,1,4415250000000,16300000,1973600469
1704588379788000000,1,4415270000000,32900000,1973600470
1704588379788000000,1,4415280000000,50300000,1973600471
1704588379788000000,1,4415290000000,2700000,1973600472
1704588379788000000,1,4415300000000,2900000,1973600473
1704588379788000000,1,4415430000000,8900000,1973600474
1704588379813000000,1,4415440000000,700000,1973600475
1704588380014000000,-1,4415430000000,11300000,1973600476
1704588380519000000,-1,4415430000000,900000,1973600477
1704588380733000000,1,4415440000000,400000,1973600478
1704588380756000000,-1,4415430000000,300000,1973600479
1704588381037000000,1,4415440000000,1700000,1973600480
1704588381143000000,1,4415440000000,13100000,1973600481
1704588381350000000,1,4415440000000,4700000,1973600482
1704588381553000000,1,4415440000000,1800000,1973600483
1704588381741000000,-1,4415430000000,11300000,1973600484
1704588381791000000,1,4415440000000,27600000,1973600485
1704588381906000000,1,4415440000000,1900000,1973600486
1704588382106000000,1,4415440000000,1700000,1973600487
1704588382306000000,1,4415440000000,1900000,1973600488
1704588382507000000,1,4415440000000,400000,1973600489
1704588382709000000,1,4415440000000,300000,1973600490
1704588383136000000,1,4415440000000,2300000,1973600491
1704588383244000000,1,4415440000000,2800000,1973600492
1704588383416000000,-1,4415430000000,6100000,1973600493
1704588383436000000,1,4415440000000,5300000,1973600494
1704588383464000000,-1,4415430000000,1000000,1973600495
1704588383535000000,1,4415440000000,6000000,1973600496
1704588383642000000,1,4415440000000,800000,1973600497
1704588383699000000,-1,4415430000000,9700000,1973600498
1704588383736000000,1,4415440000000,6400000,1973600499
1704588383843000000,1,4415440000000,2200000,1973600500
1704588384014000000,1,4415440000000,10900000,1973600501
1704588384236000000,1,4415440000000,5200000,1973600502
1704588384379000000,-1,4415430000000,9300000,1973600503
1704588384486000000,1,4415440000000,1200000,1973600504
1704588384587000000,1,4415440000000,3000000,1973600505
1704588384633000000,-1,4415430000000,1600000,1973600506
1704588384866000000,1,4415440000000,600000,1973600507
1704588384959000000,-1,4415430000000,2300000,1973600508
1704588385006000000,1,4415440000000,200000,1973600509
1704588385374000000,1,4415440000000,3800000,1973600510
1704588385520000000,-1,4415430000000,300000,1973600511
1704588385859000000,1,4415440000000,6700000,1973600512
1704588386560000000,1,4415440000000,1200000,1973600513
1704588386709000000,1,4415440000000,9700000,1973600514
1704588387069000000,1,4415440000000,1000000,1973600515
1704588387288000000,-1,4415430000000,400000,1973600516
1704588388013000000,-1,4415430000000,700000,1973600517
1704588388211000000,-1,4415430000000,13300000,1973600518
1704588388560000000,1,4415440000000,1200000,1973600519
1704588389005000000,1,4415440000000,296000000,1973600520
1704588389005000000,1,4415450000000,2500000,1973600521
1704588389005000000,1,4415460000000,56700000,1973600522
1704588389005000000,1,4415470000000,5400000,1973600523
1704588389005000000,1,4415500000000,225800000,1973600524
1704588389005000000,1,4415510000000,800000,1973600525
1704588389005000000,1,4415550000000,1300000,1973600526
1704588389005000000,1,4415570000000,2400000,1973600527
1704588389005000000,1,4415590000000,56100000,1973600528
1704588389005000000,1,4415600000000,34600000,1973600529
1704588389005000000,1,4415610000000,13500000,1973600530
